Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Bulgaria,2019,30162,30104,60266,Bulgaria,Bulgaria,10353.7204584127,6616726.0,0.004549682123757278,0.004558447788226383
Bulgaria,2020,17510,17474,34984,Bulgaria,Bulgaria,10760.211975413,6550696.0,0.0026675028119149476,0.0026729984111611956
Bulgaria,2021,19939,19949,39888,Bulgaria,Bulgaria,12966.1457543396,6507301.0,0.0030656335091922135,0.003064096773762271
Bulgaria,2022,26491,26483,52974,Bulgaria,Bulgaria,13999.1949530956,6465097.0,0.004096303582142697,0.004097540995904625
Bulgaria,2023,29949,29948,59897,Bulgaria,Bulgaria,15853.208636704,6446596.0,0.0046455524745152325,0.004645707595140133
Bulgaria,2024,32490,32492,64982,Bulgaria,Bulgaria,17596.0173663521,6441421.0,0.005044228594901653,0.005043918104405845
Croatia,2016,20066,20057,40123,Croatia,Croatia,12820.1653893008,4106867.0,0.004883771497835211,0.004885962949372356
Croatia,2017,20860,20834,41694,Croatia,Croatia,13901.7878144679,4041407.0,0.005155135327869724,0.005161568730890009
Croatia,2018,21768,21764,43532,Croatia,Croatia,15460.3669595491,3988775.0,0.005456311774918365,0.005457314589065565
Croatia,2019,22627,22589,45216,Croatia,Croatia,15563.5987295029,3949390.0,0.0057196174599115305,0.005729239198964903
Croatia,2020,11149,11162,22311,Croatia,Croatia,14807.5608543265,3914206.0,0.0028516639134475805,0.0028483426779275286
Croatia,2021,14874,14897,29771,Croatia,Croatia,17788.7865816658,3878981.0,0.0038404416005131245,0.003834512208232007
Croatia,2022,21003,21005,42008,Croatia,Croatia,18465.5414420364,3855641.0,0.005447861976776365,0.005447343256283456
Croatia,2023,22808,22814,45622,Croatia,Croatia,22184.2279304842,3859686.0,0.00591084352457687,0.005909288993975158
Croatia,2024,24979,24973,49952,Croatia,Croatia,24050.4397933135,3866200.0,0.006459314055144587,0.006460865966582173
