Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita,Visa_Acceptance_Rate,GDP_Cluster
Finland,2018,96245,96249,192494,Finland,Finland,49654.2497035329,5515525.0,0.0174505600101531,0.01744983478454,97.69962642172345,Highest 25%
Finland,2019,97320,97314,194634,Finland,Finland,48358.1807773701,5521606.0,0.0176242201997027,0.0176253068400751,97.72052133627305,Highest 25%
Finland,2020,36386,36403,72789,Finland,Finland,48828.6846862799,5529543.0,0.00658336502673,0.0065802906316127,96.3202361563518,Highest 25%
Finland,2021,36134,36162,72296,Finland,Finland,53099.1351400148,5541017.0,0.0065262387753006,0.0065211855513166,89.05515037285913,Highest 25%
Finland,2022,66355,66346,132701,Finland,Finland,50440.560224974,5556106.0,0.0119410968761215,0.0119427167156278,86.54418070024997,Highest 25%
Finland,2024,76579,76571,153150,Finland,Finland,53149.7671934051,5619911.0,0.0136249488648485,0.0136263723749361,82.69525775016278,Highest 25%
France,2016,904860,905535,1810395,France,France,37024.2157133669,66724104.0,0.0135713324827861,0.0135612161985719,86.9417749968232,Lower High 50-75%
France,2017,918431,919011,1837442,France,France,38687.1626407164,66918020.0,0.0137333860147087,0.0137247186931113,85.80150276679757,Lower High 50-75%
France,2018,927668,928363,1856031,France,France,41418.1766484844,67158348.0,0.0138234936928466,0.0138131450166105,83.41386983107782,Lower High 50-75%
France,2019,938324,938925,1877249,France,France,40408.2848574751,67382061.0,0.0139343467098757,0.0139254274219958,82.67111514249349,Lower High 50-75%
France,2020,440871,441829,882700,France,France,39169.8606000707,67601110.0,0.0065358246336487,0.0065216532687111,83.91880251638064,Lower High 50-75%
France,2021,561439,562675,1124114,France,France,43725.0999521245,67842811.0,0.0082938043354365,0.0082755857507142,73.59101437767023,Lower High 50-75%
France,2022,798963,800849,1599812,France,France,40988.6396406579,68184457.0,0.0117453307577121,0.0117176704949047,74.44445313171907,Lower High 50-75%
France,2024,852970,854563,1707533,France,France,46103.0840855884,68551653.0,0.0124659721918011,0.012442734240121,82.97952177999484,Lower High 50-75%
Germany,2016,1007533,1009551,2017084,Germany,Germany,42948.9381932694,82348669.0,0.0122594695489249,0.0122349639919498,92.48690897025548,Lower High 50-75%
Germany,2017,1023340,1025506,2048846,Germany,Germany,45553.9341495339,82657002.0,0.0124067650070347,0.0123805603305089,90.66472105433968,Lower High 50-75%
Germany,2018,1063669,1066167,2129836,Germany,Germany,48916.1686612154,82905782.0,0.0128599836378118,0.0128298530493325,89.42170776969853,Lower High 50-75%
Germany,2019,1063232,1065455,2128687,Germany,Germany,47656.199739747,83092962.0,0.0128224457806667,0.0127956926123297,88.26049171260286,Lower High 50-75%
Germany,2020,436593,438869,875462,Germany,Germany,47394.8734504469,83160871.0,0.005277349728576,0.0052499810878604,83.4116835751021,Lower High 50-75%
Germany,2021,483557,485978,969535,Germany,Germany,52349.2459994422,83196078.0,0.0058413570889723,0.0058122571595261,77.32294879347587,Lower High 50-75%
Germany,2022,740326,742813,1483139,Germany,Germany,50506.5179638543,83177813.0,0.0089304223471227,0.0089005225467998,78.33886227986854,Lower High 50-75%
Germany,2024,829217,831226,1660443,Germany,Germany,56103.7323182554,83516593.0,0.0099528245842116,0.009928769484167,85.41081197216852,Lower High 50-75%
Greece,2016,220303,220513,440816,Greece,Greece,17919.2426377048,10775971.0,0.0204633995395867,0.020443911736585,96.28480617261914,Lowest 25%
Greece,2017,230253,230318,460571,Greece,Greece,18631.9930129293,10754679.0,0.021415608964247,0.0214095650832535,95.29189054784355,Lowest 25%
Greece,2018,252129,252282,504411,Greece,Greece,19873.4015238771,10732882.0,0.0235055225614145,0.0234912673036002,94.13411903634461,Lowest 25%
Greece,2019,254113,254337,508450,Greece,Greece,19335.3602002969,10721582.0,0.0237219656576799,0.0237010732184858,93.9151451029184,Lowest 25%
Greece,2020,114567,114992,229559,Greece,Greece,17886.733165236,10698599.0,0.0107483232150303,0.0107085983875084,85.81567891302404,Lowest 25%
Greece,2021,185329,185451,370780,Greece,Greece,20654.7001960815,10569207.0,0.0175463495037991,0.0175348065375197,91.08796687796396,Lowest 25%
Greece,2022,254805,255002,509807,Greece,Greece,20886.5243087629,10436882.0,0.0244327759957427,0.024413900626643,84.15120475498705,Lowest 25%
Greece,2024,296495,296743,593238,Greece,Greece,24626.1481858973,10405134.0,0.0285189023034206,0.0284950679155117,85.85794283010152,Lowest 25%
Hungary,2016,47894,47849,95743,Hungary,Hungary,13215.8605277789,9759755.0,0.0049026845448476,0.0049072953163271,96.39598138375347,Lowest 25%
Hungary,2017,51130,51136,102266,Hungary,Hungary,14736.1668157258,9726756.0,0.0052572512356637,0.0052566343804655,94.48852011820868,Lowest 25%
Hungary,2018,57264,57210,114474,Hungary,Hungary,16605.0570511887,9706964.0,0.005893706827387,0.0058992698437946,92.14748702976053,Lowest 25%
Hungary,2019,61080,61052,122132,Hungary,Hungary,17012.8598553199,9694824.0,0.0062973809529703,0.0063002690920433,91.27899399203703,Lowest 25%
Hungary,2020,23873,23897,47770,Hungary,Hungary,16386.9308821258,9670419.0,0.0024711442182598,0.0024686624230035,88.30921722200097,Lowest 25%
Hungary,2021,27276,27267,54543,Hungary,Hungary,19030.628130329,9630932.0,0.0028311901693418,0.0028321246583404,94.34316697263374,Lowest 25%
Hungary,2022,49013,48969,97982,Hungary,Hungary,18428.028825614,9605074.0,0.0050982428662184,0.0051028237783488,84.91475243886374,Lowest 25%
Hungary,2024,63016,63014,126030,Hungary,Hungary,23292.3263882478,9562065.0,0.0065899991267576,0.0065902082865991,87.23285752932003,Lowest 25%
Italy,2016,565693,565595,1131288,Italy,Italy,31391.5692898108,60115223.0,0.0094085153772115,0.0094101455799307,92.76505336652392,Lower High 50-75%
Italy,2017,580698,580447,1161145,Italy,Italy,32844.115660604,60002252.0,0.009673753578449,0.0096779367547738,92.07857274112827,Lower High 50-75%
Italy,2018,601954,601789,1203743,Italy,Italy,34904.1081923834,60148658.0,0.0100050278760999,0.0100077710794478,92.39602199399178,Lower High 50-75%
Italy,2019,615992,615777,1231769,Italy,Italy,33812.788724868,59729081.0,0.0103095006601558,0.0103131002467625,92.16599197183764,Lower High 50-75%
Italy,2020,240096,240438,480534,Italy,Italy,32091.4866621366,59438851.0,0.0040451320298906,0.0040393782174557,88.24300892854102,Lower High 50-75%
Italy,2021,339203,339902,679105,Italy,Italy,36852.5425414951,59133173.0,0.0057480764646267,0.0057362556884948,89.49512701709537,Lower High 50-75%
Italy,2022,556943,557556,1114499,Italy,Italy,35653.9042103495,59013667.0,0.0094479131418828,0.0094375257175596,86.49232291852809,Lower High 50-75%
Italy,2024,665659,666489,1332148,Italy,Italy,40385.3413957669,58952704.0,0.0113054865133921,0.0112914074306074,88.72373341463178,Lower High 50-75%
Latvia,2016,33867,33925,67792,Latvia,Latvia,13838.5266823272,1959537.0,0.017312763168034,0.0172831643393311,98.52726549024811,Lowest 25%
Latvia,2017,37347,37377,74724,Latvia,Latvia,15132.4958333982,1942248.0,0.0192441953859651,0.0192287493667132,98.42625899280576,Lowest 25%
Latvia,2018,41725,41758,83483,Latvia,Latvia,17252.1710428626,1927174.0,0.0216679967662494,0.0216508732475635,97.47633094014557,Lowest 25%
Latvia,2019,43769,43776,87545,Latvia,Latvia,17294.9751600969,1913822.0,0.0228736005751841,0.0228699429727529,97.30897861609724,Lowest 25%
Latvia,2020,17898,17898,35796,Latvia,Latvia,17564.2321549354,1900449.0,0.0094177744312002,0.0094177744312002,98.20468573704122,Lowest 25%
Latvia,2021,19516,19514,39030,Latvia,Latvia,20261.8887788916,1884490.0,0.0103550562751725,0.010356117570271,95.2755905511811,Lowest 25%
Latvia,2022,27866,27878,55744,Latvia,Latvia,20221.103686109,1879383.0,0.0148335916627957,0.0148272065885452,89.34720908230842,Lowest 25%
Latvia,2024,31817,31817,63634,Latvia,Latvia,23409.0845154775,1866124.0,0.0170497780426166,0.0170497780426166,85.56701030927834,Lowest 25%
Lithuania,2016,26566,26561,53127,Lithuania,Lithuania,14934.2702840428,2877325.0,0.009231143510031,0.009232881235175,98.53517688766048,Higher Low 25-50%
Lithuania,2017,27987,28004,55991,Lithuania,Lithuania,16800.1510246099,2842639.0,0.0098514092010979,0.0098454288427056,98.28633269398937,Higher Low 25-50%
Lithuania,2018,30872,30907,61779,Lithuania,Lithuania,19247.2315367967,2819200.0,0.0109630391600454,0.0109506242905788,98.1354391192407,Higher Low 25-50%
Lithuania,2019,31643,31695,63338,Lithuania,Lithuania,19608.7943945553,2811089.0,0.0112749898704736,0.0112564917012588,98.52065738669872,Higher Low 25-50%
